name,semester_id
Barcamp,1
Datenbankdesign,1
Linux Grundlagen,1
Mathematik für Informatik I,1
Netzwerktechnologien,1
Rechtsgrundlagen,1
Teamentwicklung,1
Bootcamp,2
Datenstrukturen und Algorithmen,2
Human Computer Interaction,2
IT Industry English,2
Linux/Unix Systemmanagement,2
Mathematik für Informatik II,2
Netzwerkmanagement,2
Relationale Datenbanken,2
Software Development II,2
Unternehmensführung und Organisation,2
Web Engineering,2
Big Data,3
Cloud Technologien 1,3
Hackathon,3
Prozess- und Qualitätsmanagement,3
Servertechnologien,3
Software Design,3
Software Quality,3
Visualisierung und Datamining,3
Web Application Development,3